longitude,latitude,object_id,fire_id,asmnt_type,pre_id,post_id,nodata_threshold,low_threshold,moderate_threshold,high_threshold,fire_type,fire_name,greenness_threshold,ig_date,acres
-85.2710042951393,30.3510056551999,17557,FL3035108527119860914,Initial (SS),NULL,50190391986300,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/09/14 00:00:00+00,3586
-85.9190044839341,30.4780056634851,17558,FL3047808591919860914,Initial (SS),NULL,50190391986300,-9999,385,-9999,-9999,Unknown,UNNAMED,-9999,1986/09/14 00:00:00+00,1155
-82.325003466362,30.7750058428779,17559,GA3077508232519860714,Initial,50170391984158,50170391986200,-970,70,425,9999,Unknown,UNNAMED,-150,1986/07/14 00:00:00+00,772
-82.7860036043706,30.8790058526413,17560,GA3087908278619860628,Initial,50170391985144,50170391986200,-970,100,9999,9999,Unknown,UNNAMED,-150,1986/06/28 00:00:00+00,2416
-116.725011849703,33.0510048233241,17561,CA3305111672519860613,Extended,50400371985209,50400371987200,-970,70,350,9999,Unknown,UNNAMED,-150,1986/06/13 00:00:00+00,1108
-117.428012000669,33.4430048321824,17562,CA3344311742819860731,Initial (SS),NULL,50400371986200,-9999,160,-9999,-9999,Unknown,UNNAMED,-9999,1986/07/31 00:00:00+00,2541
-108.489010295372,33.5110053110819,17563,NM3351110848919860126,Initial (SS),NULL,50340371986000,-9999,-100,-322,-9999,Unknown,UNNAMED,-9999,1986/01/26 00:00:00+00,3061
-118.303012239292,34.5560049077789,17564,CA3455611830319860327,Initial (SS),NULL,50410361986200,-9999,100,-225,-9999,Unknown,UNNAMED,-9999,1986/03/27 00:00:00+00,1465
-118.811012397398,35.3800049647663,17565,CA3538011881119860519,Initial (SS),NULL,50410351986200,-9999,-20,-9999,-9999,Unknown,UNNAMED,-9999,1986/05/19 00:00:00+00,1513
-94.6560072619614,36.9100065989908,17566,OK3691009465619860323,Initial (SS),NULL,50260341986100,-9999,-70,-198,-265,Unknown,UNNAMED,-9999,1986/03/23 00:00:00+00,3427
-90.8730062494527,37.0510068174182,17567,MO3705109087319860410,Initial (SS),NULL,50240341986100,-9999,300,-95,-330,Unknown,UNNAMED,-9999,1986/04/10 00:00:00+00,1147
-97.8220082490503,38.7200067293758,17568,KS3872009782219860328,Initial (SS),NULL,50290331986100,-9999,-130,-9999,-9999,Unknown,UNNAMED,-9999,1986/03/28 00:00:00+00,8347
-121.68901383144,42.893005393931,17569,OR4289312168919861006,Initial (SS),NULL,50450301986300,-9999,100,-9999,-9999,Unknown,UNNAMED,-9999,1986/10/06 00:00:00+00,10147
-110.735010647319,31.8980049632999,20698,AZ3189811073519860502,Initial,50360381985165,50360381986200,-970,110,181,315,Wildfire,UNNAMED,-150,1986/05/02 00:00:00+00,1575
-111.432010779844,31.8010049172165,20699,AZ3180111143219860627,Initial,50360381985165,50360381986200,-970,25,88,200,Wildfire,UNNAMED,-150,1986/06/27 00:00:00+00,1432
-119.892012506579,34.634004822195,20700,CA3463411989219860915,Initial,50420361986210,50420361986300,-970,120,450,9999,Wildfire,UNNAMED,-150,1986/09/15 00:00:00+00,4396
-120.317012610295,35.0400048373665,20701,CA3504012031719860830,Initial,50420361985255,50420361986300,-970,85,580,9999,Wildfire,UNNAMED,-150,1986/08/30 00:00:00+00,1353
-119.283012615882,36.8040050778091,20702,CA3680411928319860729,Initial,50420341985223,50420341986200,-970,20,226,460,Wildfire,UNNAMED,-150,1986/07/29 00:00:00+00,1071
-121.52901306651,37.6560049988391,20703,CA3765612152919860609,Initial (SS),NULL,50440341986200,-9999,140,-457,-9999,Wildfire,UNNAMED,-9999,1986/06/09 00:00:00+00,2811
-108.708010743722,38.0250059340802,20704,CO3802510870819860805,Initial,50350341985222,50350341986200,-970,-30,94,250,Wildfire,UNNAMED,-150,1986/08/05 00:00:00+00,6205
-104.329009812935,38.4490062810542,20705,CO3844910432919860326,Initial (SS),NULL,50330331986200,-9999,200,-95,-261,Wildfire,UNNAMED,-9999,1986/03/26 00:00:00+00,25771
-117.483012008553,33.4230048269091,20706,CA3342311748319860512,Initial (SS),NULL,50400371986200,-9999,160,-185,-9999,Wildfire,UNNAMED,-9999,1986/05/12 00:00:00+00,16390
-80.4070027333154,25.3940045852598,20707,FL2539408040719860411,Initial (SS),NULL,50150421986100,-9999,550,-9999,-9999,Wildfire,UNNAMED,-9999,1986/04/11 00:00:00+00,5417
-81.5520031267897,27.5500050980071,20708,FL2755008155219860402,Initial (SS),NULL,50160411986100,-9999,550,-150,-9999,Wildfire,UNNAMED,-9999,1986/04/02 00:00:00+00,533
-85.2970042877827,29.9900055723434,20709,FL2999008529719860914,Initial (SS),NULL,50190391986300,-9999,500,-9999,-9999,Wildfire,UNNAMED,-9999,1986/09/14 00:00:00+00,1711
-81.4680030581939,26.0160047199482,20710,FL2601608146819860418,Initial (SS),NULL,50160421986100,-9999,550,-100,-9999,Wildfire,UNNAMED,-9999,1986/04/18 00:00:00+00,569
-83.1200036617006,29.9000056166456,20711,FL2990008312019860714,Initial,50170391984158,50170391986200,-970,125,9999,9999,Wildfire,UNNAMED,-150,1986/07/14 00:00:00+00,1230
-80.5550027817243,25.6000046345758,20712,FL2560008055519861020,Initial (SS),NULL,50150421986300,-9999,500,-9999,-9999,Wildfire,UNNAMED,-9999,1986/10/20 00:00:00+00,1196
-81.5970031400679,27.5570050986143,20713,FL2755708159719860128,Initial (SS),NULL,50160411986000,-9999,400,-9999,-9999,Wildfire,UNNAMED,-9999,1986/01/28 00:00:00+00,1241
